"Exchange-ticker"	"sharesOutstanding"	"sharesFloat"	"sharesDrs"
"nyse-gme"	304520000	258648531	71800000
"nyse-amc"	531716231	515482030	"Not available"
"nasdaq-flws"	65121400	26436479	"Not available"
"nyse-mmm"	552742915	552184645	"Not available"
"nasdaq-amrk"	23453339	17854792	"Not available"
"nyse-aos"	152775527	124655664	"Not available"
"nyse-abt"	1743573777	1730531845	"Not available"
"nyse-abbv"	1768480508	1766623603	"Not available"
"nyse-anf"	49001742	47800709	"Not available"
"nyse-abm"	65600684	65129015	"Not available"
"nasdaq-aso"	78144893	73456199	"Not available"
"nasdaq-achc"	90976713	89315478	"Not available"
"nasdaq-atvi"	782625319	716203908	"Not available"
"nyse-ayi"	32158387	31688519	"Not available"
"nyse-golf"	70209026	"Not available"	"Not available"
"nasdaq-ahco"	134731665	"Not available"	"Not available"
"nasdaq-adbe"	464900000	463623600	"Not available"
"nyse-adt"	858722743	"Not available"	"Not available"
"nyse-aap"	60118239	58579020	"Not available"
"nasdaq-amd"	1612356162	1603004496	"Not available"
"nasdaq-adv"	319684462	"Not available"	"Not available"
"nyse-acm"	138650280	131014809	"Not available"
"nyse-ajrd"	80532652	74857810	"Not available"
"nyse-aes"	667949778	665578556	"Not available"
"nyse-amg"	37668634	37222261	"Not available"
"nyse-afl"	621788560	617411169	"Not available"
"nyse-agco"	74598077	61823156	"Not available"
"nyse-a"	296072040	295068356	"Not available"
"nyse-apd"	221865971	221031755	"Not available"
"nasdaq-abnb"	635388992	375398088	"Not available"
"nasdaq-akam"	157242292	154586470	"Not available"
"nyse-alk"	126837831	126345700	"Not available"
"nyse-alb"	117152794	116922003	"Not available"
"nyse-aci"	535066312	"Not available"	"Not available"
"nyse-aa"	176937165	176070173	"Not available"
"nyse-are"	164087276	162134637	"Not available"
"nyse-alit"	91463200	"Not available"	"Not available"
"nyse-alsn"	92490446	91736649	"Not available"
"nyse-amr"	15943649	13365402	"Not available"
"nasdaq-amed"	32491988	31912006	"Not available"
"nyse-arch"	18082800	17714453	"Not available"
"nyse-avb"	139897351	139239917	"Not available"
"nyse-bzh"	31347439	25958622	"Not available"
"nyse-bdc"	42805645	42309956	"Not available"
"nyse-bhe"	35176226	34661598	"Not available"
"nyse-bv"	93000000	"Not available"	"Not available"
"nasdaq-brkr"	147082724	98748399	"Not available"
"nyse-bwxt"	91222288	90816349	"Not available"
"nasdaq-cenx"	91347229	51530799	"Not available"
"nyse-che"	14870305	14572155	"Not available"
"nasdaq-cps"	"Not available"	"Not available"	"Not available"
"nasdaq-cown"	28014299	23896353	"Not available"
"nasdaq-crox"	61744934	59589418	"Not available"
"nyse-cw"	38307674	38054460	"Not available"
"nyse-deck"	26466796	26188895	"Not available"
"nasdaq-dxcm"	386258125	382418719	"Not available"
"nasdaq-dbx"	398465984	257340829	"Not available"
"nyse-dnb"	435731379	228074876	"Not available"
"nasdaq-ssp"	82467296	58740402	"Not available"
"nyse-esi"	242085552	223384443	"Not available"
"nasdaq-entg"	149034584	138524665	"Not available"
"nyse-eqr"	377918920	371694595	"Not available"
"nasdaq-etsy"	125688316	124735599	"Not available"
"nasdaq-gen"	"Not available"	"Not available"	"Not available"
"nyse-gco"	12609875	10962395	"Not available"
"nyse-gel"	122539221	106461277	"Not available"
"nyse-geo"	124150091	116548305	"Not available"
"nyse-gtn"	95833904	69116518	"Not available"
"nyse-gff"	57064331	46191274	"Not available"
"nyse-hsc"	79474631	73116661	"Not available"
"nyse-hgv"	115057769	63867417	"Not available"
"nyse-hni"	41363775	40815291	"Not available"
"nasdaq-joan"	40786993	"Not available"	"Not available"
"nyse-kar"	108907844	106869089	"Not available"
"nyse-kex"	59900000	59287822	"Not available"
"nyse-ktb"	55465639	54764553	"Not available"
"nasdaq-nhcg"	"Not available"	"Not available"	"Not available"
"nasdaq-mant"	"Not available"	"Not available"	"Not available"
"nasdaq-mlkn"	75556589	74802220	"Not available"
"nyse-mur"	155455283	147328081	"Not available"
"nasdaq-myrg"	16600754	16197356	"Not available"
"nyse-njr"	96430381	95888178	"Not available"
"nyse-neu"	9871440	5319225	"Not available"
"nasdaq-ndsn"	57156824	51713780	"Not available"
"nasdaq-zeus"	11129932	9637631	"Not available"
"nyse-prty"	113316286	87218412	"Not available"
"nyse-pins"	644628992	584241661	"Not available"
"nasdaq-pltk"	361124426	"Not available"	"Not available"
"nyse-por"	89272904	88839930	"Not available"
"nyse-pstg"	302585633	284031082	"Not available"
"nyse-revg"	59856814	30547326	"Not available"
"nyse-rol"	492472436	256479645	"Not available"
"nasdaq-saia"	26462463	26322474	"Not available"
"nasdaq-sbac"	107965538	106665633	"Not available"
"nasdaq-sbny"	60632587	"Not available"	"Not available"
"nasdaq-snbr"	22001000	21090159	"Not available"
"nasdaq-slm"	250196830	225402324	"Not available"
"nyse-spb"	40787456	39894619	"Not available"
"nyse-spi"	"Not available"	"Not available"	"Not available"
"nyse-spr"	105253573	104448383	"Not available"
"nasdaq-splk"	163700000	150004858	"Not available"
"nyse-srlp"	"Not available"	"Not available"	"Not available"
"nasdaq-sfm"	105852470	99476976	"Not available"
"nasdaq-ssnc"	251910816	219285030	"Not available"
"nasdaq-sbux"	1147800000	1123810980	"Not available"
"nyse-stt"	366940147	346802472	"Not available"
"nasdaq-stld"	175571409	165189872	"Not available"
"nyse-scs"	113420000	80737438	"Not available"
"nyse-scl"	22228310	21094888	"Not available"
"nasdaq-srcl"	92184219	91947306	"Not available"
"nyse-sf"	106280628	102715976	"Not available"
"nasdaq-snex"	20394011	17380796	"Not available"
"nyse-syk"	378429929	336234992	"Not available"
"nyse-sum"	116425077	"Not available"	"Not available"
"nyse-sui"	123890230	121817546	"Not available"
"nasdaq-smci"	52922886	46120178	"Not available"
"nasdaq-sgry"	89950634	"Not available"	"Not available"
"nyse-syf"	450541428	447932793	"Not available"
"nasdaq-synh"	102904024	102507844	"Not available"
"nasdaq-snps"	152417194	151438676	"Not available"
"nyse-syy"	506767526	505677976	"Not available"
"nasdaq-trow"	223464812	218550821	"Not available"
"nasdaq-ttwo"	167819126	155697551	"Not available"
"nyse-coh"	"Not available"	"Not available"	"Not available"
"nyse-trgp"	226375387	222676413	"Not available"
"nyse-tgt"	460262630	459104076	"Not available"
"nyse-tmhc"	108346617	103140562	"Not available"
"nyse-snx"	95550456	"Not available"	"Not available"
"nyse-tgna"	223293327	221506980	"Not available"
"nyse-tdy"	46871093	43840408	"Not available"
"nyse-tfx"	46906435	46797612	"Not available"
"nyse-tds"	114745000	99892998	"Not available"
"nyse-tpx"	170984324	156491693	"Not available"
"nyse-thc"	108123186	98655920	"Not available"
"nyse-ten"	"Not available"	"Not available"	"Not available"
"nasdaq-ter"	155756146	155318471	"Not available"
"nyse-tex"	67500000	65312325	"Not available"
"nasdaq-tsla"	3133470045	2685131640	"Not available"
"nasdaq-ttek"	52981143	52425371	"Not available"
"nasdaq-txn"	907571712	906174052	"Not available"
"nyse-txt"	208771472	207823650	"Not available"
"nyse-tmo"	392195557	391466073	"Not available"
"nyse-tho"	53518735	51076675	"Not available"
"nyse-tkr"	72743592	69574881	"Not available"
"nyse-tjx"	1155504149	1153066035	"Not available"
"nyse-tol"	110727000	110018347	"Not available"
"nyse-bld"	31972332	31605257	"Not available"
"nyse-ttc"	104008480	97575556	"Not available"
"nasdaq-tgp"	"Not available"	"Not available"	"Not available"
"nasdaq-tsco"	110463245	110166099	"Not available"
"nyse-tdg"	54374596	53885768	"Not available"
"nyse-tru"	192700000	192048674	"Not available"
"nyse-tnl"	81280625	80256349	"Not available"
"nasdaq-ta"	14853593	13087501	"Not available"
"nyse-trv"	234347525	233426539	"Not available"
"nyse-ths"	56082442	50809010	"Not available"
"nyse-tph"	100913958	92052703	"Not available"
"nasdaq-trmb"	246624691	245332378	"Not available"
"nyse-tnet"	62230133	32058475	"Not available"
"nyse-tfc"	1326766288	1322082803	"Not available"
"nasdaq-ttec"	47219507	"Not available"	"Not available"
"nasdaq-ttmi"	102206175	95635340	"Not available"
"nyse-tpc"	51485216	41832768	"Not available"
"nyse-twlo"	174522799	173239425	"Not available"
"nyse-twtr"	"Not available"	"Not available"	"Not available"
"nyse-tsn"	359630000	282464596	"Not available"
"nyse-usb"	1485823486	1482822123	"Not available"
"nyse-uber"	1860906043	"Not available"	"Not available"
"nasdaq-ufpi"	61637514	60153283	"Not available"
"nyse-ugi"	209708820	208388143	"Not available"
"nasdaq-ulta"	50880771	50135368	"Not available"
"nyse-uaa"	468278016	"Not available"	"Not available"
"nyse-unp"	614800800	613651123	"Not available"
"nasdaq-ual"	326744698	325394539	"Not available"
"nasdaq-unfi"	"Not available"	"Not available"	"Not available"
"nyse-uri"	69308481	68997286	"Not available"
"nyse-x"	234268944	232678258	"Not available"
"nyse-unh"	934349073	930751829	"Not available"
"nyse-unvr"	163166503	161603368	"Not available"
"nyse-uhs"	83131000	61875711	"Not available"
"nyse-uhm"	"Not available"	"Not available"	"Not available"
"nasdaq-urbn"	92175750	64533164	"Not available"
"nyse-usfd"	224890625	204717936	"Not available"
"nyse-uwmc"	1605170048	83165246	"Not available"
"nyse-vlo"	385523278	383784568	"Not available"
"nyse-vhi"	28279493	"Not available"	"Not available"
"nyse-vmi"	21333058	20994502	"Not available"
"nyse-vvv"	174429051	173747200	"Not available"
"nyse-vtr"	399717985	398183068	"Not available"
"nasdaq-vrsk"	156387950	154944489	"Not available"
"nyse-vrtv"	13483303	9437368	"Not available"
"nyse-vz"	4199817447	4197129564	"Not available"
"nasdaq-vrtx"	256691452	256052290	"Not available"
"nyse-vrt"	377295546	308178775	"Not available"
"nyse-vfc"	388566085	387019592	"Not available"
"nasdaq-vsat"	75586954	50693147	"Not available"
"nasdaq-vtrs"	1212684598	1208755500	"Not available"
"nyse-vsco"	80827062	64187195	"Not available"
"nyse-v"	2097970048	1626638019	"Not available"
"nyse-vsh"	129567743	"Not available"	"Not available"
"nyse-vsto"	56573110	50135090	"Not available"
"nasdaq-vc"	28142789	27878810	"Not available"
"nyse-vst"	397953513	367263338	"Not available"
"nyse-vzio"	193406722	"Not available"	"Not available"
"nyse-voya"	97172865	91305567	"Not available"
"nasdaq-vrm"	138173418	128439101	"Not available"
"nyse-vmc"	132906866	132559979	"Not available"
"nyse-wrb"	265476121	209208457	"Not available"
"nyse-gww"	50529263	45006415	"Not available"
"nasdaq-wba"	862503554	713817216	"Not available"
"nyse-wmt"	2696800054	1403252940	"Not available"
"nyse-dis"	1823591988	1822114878	"Not available"
"nasdaq-wbd"	2428396015	2195779961	"Not available"
"nasdaq-wmg"	514383008	108201700	"Not available"
"nyse-wm"	410477096	409598675	"Not available"
"nyse-wat"	59407575	59132518	"Not available"
"nyse-w"	103900000	77742701	"Not available"
"nyse-wec"	315434531	314863594	"Not available"
"nyse-wfc"	3810490898	3806566092	"Not available"
"nyse-well"	472521446	472030024	"Not available"
"nasdaq-wern"	63202053	58497924	"Not available"
"nyse-wcc"	50843668	43871476	"Not available"
"nyse-wst"	74032987	73601375	"Not available"
"nyse-wdc"	"Not available"	"Not available"	"Not available"
"nyse-wes"	385069991	194425689	"Not available"
"nyse-wu"	386170808	383332453	"Not available"
"nyse-wlk"	127537531	"Not available"	"Not available"
"nyse-wrk"	254518055	251359526	"Not available"
"nyse-we"	708056261	"Not available"	"Not available"
"nyse-wy"	735917000	733819637	"Not available"
"nyse-whr"	54478354	54090468	"Not available"
"nyse-wmb"	1218339828	1214404590	"Not available"
"nyse-wsm"	66567436	60985756	"Not available"
"nyse-wgo"	30542044	29326165	"Not available"
"nyse-www"	78755075	77839941	"Not available"
"nasdaq-wwd"	59739073	59165515	"Not available"
"nasdaq-wday"	250000000	200246690	"Not available"
"nyse-int"	61919076	60558714	"Not available"
"nyse-wor"	49711335	29875180	"Not available"
"nasdaq-wynn"	113313591	95037570	"Not available"
"nasdaq-xrx"	155602637	111923421	"Not available"
"nyse-xlnx"	"Not available"	"Not available"	"Not available"
"nyse-xpo"	115162555	101295832	"Not available"
"nasdaq-yell"	51664478	50547091	"Not available"
"nasdaq-zbra"	51629798	51344802	"Not available"
"nasdaq-zm"	297075008	214196190	"Not available"
"nasdaq-znga"	"Not available"	"Not available"	"Not available"